Text,seeking_help
"Hello, after the recent hurricane we need food and money. Please do help us ",1
I am forced to ask you for a favor. During the recent earthquake the farm was destroyed and all of the animals escaped. Appreciate any help with catching the animals and renovating the farm. ,1
"Ideal type of girl: Smart, beautiful, pretty, emotionally unstable, and has a bit of a 🍑. if you tick like two of the categories stated above I'll still take you out as there is potential there",0
"If you are looking for ransom, I can tell you I don't have money. But what I do have are a very particular set of skills, skills I have acquired over a two year career. Skills that make me a nightmare for second years like you. If you let our wide screens go, that'll be the end of it. I will not look for you, I will not persue you. But if you don't, I will look for you, I will find you , and I will send a strongly worded email to Juels about you.",0
I hope everyone is excited for a night of Casino and Rueda. It will be great to have Will Hernandez back in town teaching and spinning tunes. Many thanks to Hedge End Rueda and Tracie's Latin Club for making it a reality.,0
Just found my old photo from 2006 during one of my very first running competitions! I am grateful that running still plays a big role in my life and shaped my body and character to become more persistent in reaching my goals.,0
64km and 8th place overall with time 7:17:04!!! I was quietly counting to be in top 5 but I lost my way at the end of the race and had to run 2 kilometers more. Great weather and superb landscapes!,0
"Hey guys, I'm running 2nd time for the Course Rep for Year 2 ELEC students. Last year, I helped students when there were course-related issues and got awarded with Best Course Rep award at my faculty! Your votes would enable me to help you this year as well. Also, I would like to recommend Marcin Więchfor the Computer Science Year 2 Course Rep, as he is a proactive and helpful person, perfect for that position. Cheers for votes!",0
"Another hugely successful evening at the Southampton Property Hub. We're now the biggest Property Hub Meetup! Congratulations to Sarah Smith and Rob King!  Great presentations from them and from Ritchie Clapson, who inspired people to think big with industrial conversions! Thanks also to Sadie Talbot and Will Alexander for their insightful updates.  Thank you all for coming and making it a great meeting! See you next Month! ",0
"Thank you for your birthday messages, and for making this an incredible year :D I've learnt so much and tried so many different things this year thanks to you all and though I am looking forward to starting my PhD later this month so so so much, the highlight of the year has definitely been the last few weeks in Peru!! It's 7am here and Becky and I are just about to explore one of the deepest Canyons in the world. Here's some pics of our trip so far - what a way to spend a birthday ",0
"Be crazy, be silly, be weird, be different, be YOU. Because life is too short to be anything but happy. #family #Morelia #México. Ps: #tb",0
"“But the most beautiful things in life are not things. They’re people and places, memories and pictures. They’re feelings and moments, smiles and laughter.”",0
Happy birthday to my sweet girl. You’re more precious than ever. So thankful to have you in my life. ,0
Registration for The SFP Hugh Senior 5k Run/Walk opens today!!! All proceeds goes towards scholarship grants for students in the Waterhouse Community https://www.runningeventsja.com,0
"buried towns in an instant before disappearing just as fast, leaving the lucky few who were there to wonder if it even happened. Watch the full feature film, Rogue Elements on Red Bull TV now ",0
"Hey guys! UoB Startup Society is running a great speaker session with founder and CEO of Labstep and Forbes 30 Under 30 list member Jake Schofield. Make sure you don't miss this one out, especially if you ever wondered how to find money for your ideas!",0
Just a casual internship at JPMorgan Geneva,0
"Some achievement little brother, Dublin Marathon 2hrs 49 🏃 🍾",0
"To the blonde in B16 with the yellow coat. Stop showing off about your soup flask. We get it, it has a spoon.",0
"After completing 13.1 miles in Havana, the actor crossed one more thing off his bucket list.",0
Good news: Australia found a way to save water from plastic pollution and we can start doing the same,0
"Click, smash, and swipe your way to an amazing experience after the end of term! The annual game-building hackathon is back, and better than ever. We're partnering with Studio Gobo and Electric Square to bring you Game Gig 2018 - One Button Edition.",0
"We are making progress towards a better world, including in professional sports.",0
A player in a MMORPG game decides to put his skills to use as the game’s new overlord. Watch Overlord now on Crunchyroll.,0
"Happy birthday to my amazing uni husband I hope you have a fabulous day, with lots of fried food and cake  You've been one of the best people to talk about anything with, and you're the happiest, most positive influence I know Keep being yourself, and here's to another year of happiness and fun ",0
Best of luck tomorrow Megan in your first A-Level exam. Your aunt is so very proud of what you have achieved during your school years. Big hug from across the water.,0
"The work that Cambridge ACS is doing this year is so inspiring, and it's great to see that the Cambridge Vice-Chancellor is supporting their initiatives",0
"Come for the free wine; stay for the life-changing opportunities. Whether you're looking for graduate opportunities, Easter/summer internships, insight days, or just to fight educational inequality, we have something for you. Come along to our employer presentation TONIGHT to find out more!",0
"Her commitment to excellence did not permit her to to allow these criticisms to lower the latitude of her goals - and is now a Vice President at Credit Suisse, as well as being a Co-founder of the Credit Suisse EMEA BAME Network - in which she serves as a Co-Chair",0
As the Inaugural VP of Diversity for the Imperial College Investment Society I'm excited to share our upcoming panel event 'Women in Finance' - which is the first in our new 'Diversity in Finance' series of events.,0
"Join me and ACS President Dennis Ampontuah on the 23rd of November at the Millennium Gloucester Hotel where we will be enjoying a 3 Course Meal, an unmissable dance performance by Imperial ACS and... get this - none other than Humza Arshad from Diary of a Badman will be coming through!",0
"you would like to stay up to date about upcoming Events, Relevant Opportunities, Campaigns & Activities that I am running as the Imperial College Union Black & Minority Ethnic Officer, please sign up to the BME Events Mailing list here:",0
